"module_idx","timestamp","kind","context","source","provider","namespace","installed","shorthand","concrete_name","function"
1,"260418000655","ai","stk","github","ollama","robit","yes","agent6","robit/qwen3.5-9b-r7-research:q4km","gen-mv"
2,"260420224209","ai","stk","ltree","ollama","default","yes","agent2","qwen2.5-coder:3b","gen-mv"
3,"260420230330","ai","stk","ltree","ollama","default","yes","agent4","qwen:4b","gen-mv"
4,"260613043108","ai","stk","ltree","ollama","default","yes","agent5","qwen2.5:latest","gen-mv"
5,"260722184617","ai","stk","ltree","ollama","default","yes","agent3","granite4:3b","gen-mv"
6,"260722194542","ai","stk","ltree","ollama","default","yes","agent1","qwen2.5:0.5b","gen-mv"
7,"260722210720","scr","lcl","ltree","local","default","yes","dtest1","dtest_board_pack_startpos_uci_srcvalmvs","val-brd"
8,"260722210720","scr","lcl","ltree","local","default","yes","dval1","dgrade_parse_pack_first_legal_uci_candidate","val-mv"
9,"260722210720","scr","lcl","ltree","local","default","yes","harness1","aichess","evl-mv"
10,"260722210720","scr","lcl","ltree","local","default","yes","srcbrd1","srcvalbrd_fen_startpos","src-srt-brd"
11,"260722210720","scr","lcl","ltree","local","default","yes","srcmvlst1","srcvalmvs_stockfish_perft1_startpos","src-mvlst"
12,"260722214210","scr","stk","ltree","local","default","yes","shim1","ollama_generate","gen-rsp"
